seed,model,mask_type,area_frac,accuracy,f1_Immune,f1_Stromal,f1_Tumour,conf_correct,conf_wrong
42,resnet50,centre,0.0,0.715,0.6826666666666666,0.6464646464646465,0.8065268065268065,0.66256225,0.537998
42,resnet50,centre,0.05,0.4716666666666667,0.0,0.5303514376996805,0.5822416302765647,0.6786677,0.56946415
42,resnet50,centre,0.1,0.3333333333333333,0.0,0.0,0.5,0.77136767,0.6782718
42,resnet50,centre,0.15,0.3333333333333333,0.0,0.0,0.5018820577164367,0.69435,0.63562435
42,resnet50,centre,0.2,0.34,0.0,0.5025252525252525,0.04807692307692308,0.6353389,0.603681
42,resnet50,centre,0.3,0.3333333333333333,0.0,0.5,0.0,0.8643202,0.85993165
42,resnet50,centre,0.4,0.3333333333333333,0.0,0.5,0.0,0.6242295,0.6170453
42,resnet50,centre,0.5,0.3333333333333333,0.0,0.5,0.0,0.9502461,0.9493983
42,resnet50,centre,0.6,0.3333333333333333,0.0,0.5,0.0,0.99904907,0.99907947
42,resnet50,centre,0.7,0.3333333333333333,0.0,0.5,0.0,0.9995897,0.9996025
42,resnet50,edge,0.0,0.715,0.6826666666666666,0.6464646464646465,0.8065268065268065,0.66256225,0.537998
42,resnet50,edge,0.05,0.7116666666666667,0.6757493188010899,0.6490384615384616,0.8057553956834532,0.645279,0.5280339
42,resnet50,edge,0.1,0.7083333333333334,0.6702702702702703,0.6494117647058824,0.8049382716049382,0.6298825,0.52111536
42,resnet50,edge,0.15,0.7216666666666667,0.6811989100817438,0.6697892271662763,0.812807881773399,0.61262566,0.51970583
42,resnet50,edge,0.2,0.7166666666666667,0.6827956989247311,0.6587112171837709,0.8068459657701712,0.61746,0.51701266
42,resnet50,edge,0.3,0.37,0.17194570135746606,0.02857142857142857,0.5201560468140443,0.6193372,0.49481437
42,resnet50,edge,0.4,0.3333333333333333,0.0,0.0,0.5,0.7547966,0.70783633
42,resnet50,edge,0.5,0.3333333333333333,0.0,0.0,0.5,0.77780396,0.74525434
42,resnet50,edge,0.6,0.3333333333333333,0.0,0.0,0.5,0.9275382,0.9257268
42,resnet50,edge,0.7,0.3333333333333333,0.0,0.0,0.5,0.98330384,0.9832429
42,vit_small_patch16_224,centre,0.0,0.7366666666666667,0.7180722891566265,0.647887323943662,0.827906976744186,0.78005666,0.66114086
42,vit_small_patch16_224,centre,0.05,0.735,0.7188264058679706,0.6483516483516484,0.8243559718969555,0.774767,0.66109806
42,vit_small_patch16_224,centre,0.1,0.7183333333333334,0.7160493827160493,0.6243386243386243,0.8057553956834532,0.7740681,0.6492118
42,vit_small_patch16_224,centre,0.15,0.7116666666666667,0.7037974683544304,0.628140703517588,0.800982800982801,0.76043475,0.6420829
42,vit_small_patch16_224,centre,0.2,0.7116666666666667,0.7064935064935065,0.6308068459657702,0.7980295566502463,0.76464885,0.64549756
